crop,production_tonnes
AG,1.0
AN_NU,258.2
AN_PA,13493.55
BA_INT,27766.35
BA_IRR,1804.38
BA_PER,12.78
BC_BT,6355.44
BC_GTMG,83.98
CS_BT_NIM,210731.28
CS_BT_NISM,188.25600000000003
CS_CGT_NIM,38553.48
CS_CGT_NISM,30.744000000000003
CS_EGT_NIM,91580.76000000001
CS_EGT_NISM,4917.96
CS_MG_NISM,90504.6
CS_NGT_NIM,156697.2
CS_NGT_NISM,11143.872
CS_SBT_NIM,15817.425
IG_PLA,2889.54
IG_TUT,1384.3500000000001
JA,0.0
MA_ROTA,13184.1
MA_TO_CO_JA,66029.04000000001
ME,253.40000000000003
PN_PIQ,5332.074
VE_BTGT,123.53999999999999
