crop,revenue
AG,700.0
AN_NU,189346.66666666666
AN_PA,9895269.999999998
BA_INT,26506374.740000002
BA_IRR,1731037.26
BA_PER,12013.2
BC_BT,5084352.0
BC_GTMG,67184.0
CS_BT_NIM,13671309.766971428
CS_BT_NISM,12347.136822857145
CS_CGT_NIM,2705004.8250285718
CS_CGT_NISM,2182.7626514285716
CS_EGT_NIM,6843302.285657143
CS_EGT_NISM,372032.82737142855
CS_MG_NISM,6306160.918857144
CS_NGT_NIM,12283410.599428572
CS_NGT_NISM,884426.0309942856
CS_SBT_NIM,1052300.8392499997
IG_PLA,4334310.0
IG_TUT,2768700.0
JA,223248.0
MA_ROTA,13843305.0
MA_TO_CO_JA,72631944.0
ME,304080.00000000006
PN_PIQ,31103765.0
VE_BTGT,86478.0
