crop,labor_cost
AG,381.50666666666666
AN_NU,89682.69
AN_PA,2590341.4
BA_INT,25366479.909531247
BA_IRR,1411922.8084090909
BA_PER,279283.81016666663
BC_BT,2306917.7775
BC_GTMG,31084.106875
CS_BT_NIM,569670.4371428572
CS_BT_NISM,612.892142857143
CS_CGT_NIM,141353.42357142858
CS_CGT_NISM,139.9207142857143
CS_EGT_NIM,356480.53642857145
CS_EGT_NISM,21382.25
CS_MG_NISM,398969.1364285715
CS_NGT_NIM,582239.652857143
CS_NGT_NISM,78144.73357142859
CS_SBT_NIM,44106.33499999999
IG_PLA,1668434.8800000001
IG_TUT,1190285.145
JA,69536.09999999999
MA_ROTA,6770225.159999999
MA_TO_CO_JA,23639591.88
ME,62492.280000000006
PN_PIQ,15332221.799999999
VE_BTGT,58509.68933333333
