crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,19596683.98
BA_IRR,1207510.02
BA_PER,229536.0
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,9342652.982742857
CS_BT_NISM,8172.170102857143
CS_CGT_NIM,2127108.2458714284
CS_CGT_NISM,1714.3400342857144
CS_EGT_NIM,5110406.256528572
CS_EGT_NISM,249793.41199999998
CS_MG_NISM,4917509.347028572
CS_NGT_NIM,8391763.770857142
CS_NGT_NISM,917733.5637714287
CS_SBT_NIM,721738.563
IG_PLA,0.0
IG_TUT,0.0
JA,149540.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
PN_PIQ,4317830.0
VE_BTGT,0.0
