farm,revenue
E1,35303.48211428571
E10,38049.77782857143
E100,156603.68
E1000,37302.1494
E1001,7009.1554857142855
E1002,72064.68457142857
E1003,20444.062842857144
E1004,26460.22
E1005,27013.832285714285
E1006,285201.0
E1007,22616.642457142858
E1008,27048.12585714286
E1009,7770.2035857142855
E101,46956.982285714286
E1010,39344.68
E1011,47037.600000000006
E1012,3809877.1830142858
E1013,26068.297457142857
E1014,1078.0
E1015,48646.176028571426
E1016,24855.674
E1017,34087.723914285714
E1018,67108.53488571428
E1019,40540.5
E102,8200.5
E1020,51427.9
E1021,15026.47717142857
E1022,91287.0
E1023,32560.99391428572
E1024,34775.8
E1025,12626.081457142856
E1026,29813.28722857143
E1027,68020.92831428572
E1028,107712.0
E1029,33989.60331428571
E103,13476.236514285714
E1030,4080.6727142857144
E1031,39894.62194285714
E1032,79992.0
E1033,10510.5
E1034,37734.220628571435
E1035,25615.318314285716
E1036,1182256.6809809525
E1037,30725.065142857144
E1038,29527.145942857147
E1039,36726.05442857143
E104,52992.648857142856
E1040,37841.12845714286
E1041,200054.42194285715
E1042,53212.11214285714
E1043,33977.41768571429
E1044,84744.0
E1045,40262.14521904762
E1046,4704.7756
E1047,53831.29697142857
E1048,30028.267685714287
E1049,109431.0
E105,141523.10329523808
E1050,37764.18
E1051,6433.060514285715
E1052,9328.522342857143
E1053,67331.70337142858
E1054,1019221.5974047618
E1055,105080.73448000001
E1056,13106.160600000001
E1057,350716.22
E1058,33512.54777142857
E1059,15672.6
E106,31351.207228571428
E1060,63741.44174285715
E1061,15883.92177142857
E1062,14822.5
E1063,6603.529028571429
E1064,15130.5
E1065,34651.27968571428
E1066,9933.0
E1067,46853.912868571424
E1068,38325.57297142857
E1069,11914.392914285714
E107,19481.0
E1070,30222.5
E1071,11725.872662857144
E1072,12105.288
E1073,31814.541857142856
E1074,7889.592571428571
E1075,16439.5
E1076,9074.9
E1077,15893.006514285715
E1078,12530.226582857144
E1079,43348.57091428572
E108,27372.105199999998
E1080,10197.887931428573
E1081,11853.502985714285
E1082,29323.806417142856
E1083,36177.68802857143
E1084,11296.06870857143
E1085,19651.710971428573
E1086,4861.280365714287
E1087,29922.233857142855
E1088,9969.172457142859
E1089,22798.780885714288
E109,36213.16194285714
E1090,5582.5
E1091,14943.711314285714
E1092,17397.810902857145
E1093,31868.854542857145
E1094,5919.692228571429
E1095,7122.5
E1096,26790.880185714283
E1097,9025.16134857143
E1098,19253.835942857146
E1099,7492.465628571428
E11,47589.58579999999
E110,37452.2152
E1100,54485.50394285714
E1101,9722.188614285715
E1102,8496.982828571428
E1103,21265.39262857143
E1104,9394.0
E1105,11234.515171428571
E1106,9086.0
E1107,11007.826514285716
E1108,51731.020000000004
E1109,37931.65993142857
E111,17107.936914285714
E1110,12105.112942857142
E1111,4922.2011142857145
E1112,217178.5
E1113,10839.9
E1114,5163.868257142857
E1115,8085.0
E1116,14406.910171428572
E1117,3850.0
E1118,21483.253302857145
E1119,23462.06870857143
E112,39961.28368571428
E1120,23659.43408
E1121,12952.710971428573
E1122,132913.94
E1123,17171.0
E1124,8732.5
E1125,21493.99965714286
E1126,3216.5302571428574
E1127,43117.759999999995
E1128,25863.822028571427
E1129,367807.00698095234
E113,35822.479999999996
E1130,4861.280365714287
E1131,56808.0
E1132,119755.38492380951
E1133,102002.54000000001
E1134,535847.455
E1135,27385.495514285714
E1136,28567.0
E1137,86317.0
E1138,17930.23564
E1139,21757.9952
E114,60467.57995999999
E1140,13970.303057142857
E1141,12064.8
E1142,61277.71906857143
E1143,88704.0
E1144,191180.33525714284
E1145,13598.875794285717
E1146,31557.72688809524
E1147,2928.4827714285716
E1148,15739.288628571428
E1149,19600.483685714287
E115,38465.25445714286
E1150,39606.52928571429
E1151,77211.45854285714
E1152,8441.377085714286
E1153,38016.0
E1154,15977.5
E1155,9425.0
E1156,3874.0305371428576
E1157,24399.67748571429
E1158,10657.756971428571
E1159,144144.0
E116,52960.47897142857
E1160,154620.82
E1161,47416.08097142857
E1162,24435.2
E1163,10707.718557142856
E1164,12808.79525714286
E1165,9285.233514285714
E1166,31077.209400000007
E1167,12705.0
E1168,14621.538914285715
E1169,282842.9820285714
E117,43724.88597142857
E1170,5042.461071428572
E1171,4214.908337142857
E1172,18882.66674285714
E1173,8619.451285714287
E1174,13018.3443
E1175,10493.715557142856
E1176,4620.0
E1177,11670.431114285713
E1178,2037.5
E1179,248912.99999999997
E118,13379.67902857143
E1180,6518.868399999999
E1181,19346.53994285714
E1182,2797.320357142857
E1183,19806.07182857143
E1184,64492.987388571426
E1185,27539.473228571427
E1186,15659.70057142857
E1187,14892.5
E1188,4855.580828571428
E1189,52683.89841142857
E119,37088.011685714286
E1190,348138.0
E1191,57826.37582857143
E1192,12539.482828571428
E1193,18299.990999999998
E1194,11798.209557142856
E1195,4983.359271428571
E1196,5068.5449
E1197,49640.183371428575
E1198,24051.965057142857
E1199,154670.19225714286
E12,16043.189114285715
E120,26033.160085714284
E1200,40690.9
E1201,30361.468422857142
E1202,6337.044685714286
E1203,16241.1
E1204,44425.9
E1205,1008.1662
E1206,33125.460857142854
E1207,15170.500914285714
E1209,8881.464142857143
E121,24293.649657142858
E1210,8881.464142857143
E1211,7489.234628571428
E1212,17042.809571428574
E1213,22536.318885714285
E1214,7318.560514285715
E1215,3823.490685714286
E1216,371393.86030476185
E1217,420548.59983809525
E1218,7681.266285714286
E1219,17282.849142857143
E122,27111.284428571427
E1220,579377.3333333334
E1221,40216.145
E1222,8545.408742857144
E1223,118463.54
E1224,6769.115914285714
E1225,8234.457628571428
E1226,6048.9972
E1227,55423.61354285714
E1228,108589.6740952381
E1229,9073.4958
E123,741997.6095142857
E1230,6000.989285714286
E1231,15868.043285714286
E1232,184001.20707619048
E1233,38694.37891428571
E1234,6145.013028571429
E1235,11425.883600000001
E1236,9300.608
E1237,36319.883114285716
E1238,12224.266285714286
E1239,9409.5512
E124,13037.76347142857
E1240,11101.94757142857
E1241,2640.435285714286
E1242,17706.817485714284
E1243,48546.35005714286
E1244,12868.415542857143
E1245,10081.662
E1246,27124.471571428574
E1247,182834.66666666666
E1248,5376.8864
E1249,7921.305857142857
E125,55516.76954285714
E1250,12243.141057142857
E1251,13443.948314285715
E1252,10561.741142857143
E1253,8039.615914285715
E1254,28516.701085714285
E1255,42078.75043809524
E1256,46896.32911428572
E1257,7420.4
E1258,40637.52417142857
E1259,6817.123828571428
E126,15400.0
E1260,20221.308171428573
E1261,97996.32627619048
E1262,5424.894314285714
E1263,72761.96408571428
E1264,11650.662485714285
E1265,30292.993914285715
E1266,23619.010914285715
E1267,34280.64708571429
E1268,5164.298342857142
E1269,13634.247657142856
E127,6762.249828571429
E1270,9608.981342857141
E1271,63218.780868571426
E1272,8998.386514285714
E1273,84110.3344857143
E1274,27299.945417142855
E1276,3692.119177142857
E1277,32181.245811428573
E1278,29428.85145714286
E1279,45422.3864
E128,4387.0
E1280,12338.033971428571
E1281,7534.795942857143
E1282,13644.353114285715
E1283,286.0
E1284,28574.12102857143
E1285,8593.416657142858
E1286,5841.253057142857
E1287,4275.361742857142
E1288,18243.00742857143
E1289,16397.1
E129,25396.391371428574
E1290,4638.868845714287
E1291,31157.136371428573
E1292,4379.395908571429
E1293,1493.3344914285717
E1294,7091.9958400000005
E1295,11786.541645714287
E1296,10866.391405714288
E1297,1398.0152685714288
E1298,3312.5460857142857
E1299,4046.3497600000005
E13,81116.82202857143
E130,14433.098685714285
E1300,15744.300000000001
E1301,36599.03208571429
E1302,18590.295291428574
E1303,58542.33848
E1304,29529.5
E1305,47383.811400000006
E1306,37150.02277142857
E1307,4798.030537142858
E1308,3312.5460857142857
E1309,4893.053440000001
E131,31528.7964
E1310,2128.7959771428577
E1311,4991.249828571429
E1312,5199.488205714287
E1313,2859.576685714286
E1314,23859.50694857143
E1315,2700.7113142857147
E1316,10972.034011428574
E1317,4575.3226971428585
E1318,44352.0
E1319,16494.206811428576
E132,24558.866
E1320,5973.337965714287
E1321,15645.256777142858
E1322,2510.0728685714294
E1323,3495.0381714285722
E1324,28002.8
E1325,6354.614857142858
E1326,6799.437897142859
E1327,12332.17974857143
E1328,4862.2545714285725
E1329,27156.249342857147
E133,67374.6459142857
E1330,6497.740200000001
E1331,7969.5
E1332,12650.065842857142
E1333,62279.925737142854
E1334,76783.54000000001
E1335,74131.92002857142
E1336,68833.56901428572
E1337,37101.764371428566
E1338,31017.653971428572
E1339,26402.993577142854
E134,24903.610114285715
E1340,31917.056971428574
E1341,28784.61371428571
E1342,57815.020000000004
E1343,34511.28765714286
E1344,25164.558337142855
E1345,50648.89734285715
E1346,30092.63141142857
E1347,63828.14182857144
E1348,27163.88052857143
E1349,84474.66565714286
E135,30502.9736
E1350,40850.04125714285
E1351,24916.79635714286
E1352,13420.3966
E1353,33665.319142857144
E1354,4952.646771428571
E1355,32639.476014285716
E1356,73260.0
E1357,8239.0
E1358,9914.550885714285
E1359,36190.51585714286
E136,35997.5
E1360,7931.877457142857
E1361,6988.550885714286
E1362,21557.946057142857
E1363,10716.351685714286
E1364,10029.676742857144
E1365,7178.760471428572
E1366,12649.577828571428
E1367,3790.7604714285712
E1368,3934.005971428572
E1369,5913.196714285715
E137,36908.987617142855
E1370,17505.64667142857
E1371,74266.5
E1372,101493.0
E1373,32842.319514285715
E1374,47967.642920000006
E1375,28283.3892
E1376,5750.029928571429
E1377,22195.57184285714
E1378,28299.038871428573
E1379,49500.0
E138,32668.830342857145
E1380,20657.51492857143
E1381,50467.453205714286
E1382,15515.6
E1383,8589.523514285716
E1384,3471.425142857143
E1385,34281.40843428571
E1386,33582.26345714286
E1387,4703.259731428572
E1388,68971.12942857142
E1389,27996.170614285715
E139,36820.7644
E1390,267835.0
E1391,6718.588137142859
E1392,3221.3920914285723
E1393,8230.241851428573
E1394,18457.025691428575
E1395,14815.476754285713
E1396,15595.122834285714
E1397,1938.1575314285717
E1398,8629.449691428572
E1399,3876.315062857144
E14,4575.322697142858
E140,2224.1152000000006
E1400,6531.6728
E1401,19786.122834285714
E1402,2764.2574628571438
E1403,26658.244982857144
E1404,7586.488205714286
E1405,6083.0
E1406,11326.99584
E1407,2342.6047857142858
E1408,7206.129942857142
E1409,5464.968777142858
E141,34587.487777142866
E1410,5790.503171428572
E1411,25337.299357142856
E1412,33779.590800000005
E1413,9947.299794285715
E1414,1652.1998628571432
E1415,2637.165165714286
E1416,9775.224982857142
E1417,32630.217800000002
E1418,40898.31852571428
E1419,20756.08082857143
E142,3725.067657142857
E1420,8012.580828571428
E1421,132878.32
E1422,26769.7
E1423,13226.71017142857
E1424,33041.71814285714
E1425,10050.361742857142
E1426,36376.47997142857
E1427,30647.147542857143
E1428,42957.71854285715
E1429,25410.0
E143,48820.115028571425
E1430,23958.957885714284
E1431,4437.074842857142
E1432,6583.5
E1433,9091.817942857142
E1434,10444.64202857143
E1435,3640.4070285714283
E1436,8167.446771428571
E1437,3598.076714285714
E1438,28472.102799999997
E1439,5485.663085714285
E144,28001.654742857143
E1440,48369.078971428564
E1441,8855.0
E1442,12766.571914285714
E1443,4656.3345714285715
E1444,41179.422731428574
E1446,16197.689657142857
E1447,18413.686714285715
E1448,2963.122
E1449,7253.970428571429
E145,9193.940114285715
E1450,8091.35305142857
E1451,18766.254485714286
E1452,30763.238114285712
E1453,7491.493725714286
E1454,115.99999999999999
E1455,3598.076714285714
E1456,25132.338828571428
E1457,11756.037485714289
E1458,6819.069051428572
E1459,2573.619017142858
E146,48256.73608
E1460,10173.857394285715
E1461,13972.5
E1462,13806.014925714288
E1463,8134.480904761905
E1464,12831.490399999999
E1465,4575.3226971428585
E1466,45494.07817142857
E1467,14497.258371428572
E1468,134348.76
E1469,28220.5
E147,25565.81853714286
E1470,6044.5
E1472,15833.7
E1473,20595.39522857143
E1474,9777.35934857143
E1475,17373.624194285712
E1476,27951.0
E1477,4032.6648
E1478,20741.854
E1479,27983.975771428573
E148,84399.23331428571
E1480,6332.445874285715
E1481,2065.249828571429
E1482,6102.800182857142
E1483,30009.560457142856
E1484,11519.9466
E1485,541958.0641238096
E1486,287179.3292857143
E1487,133147.76104
E1488,272337.4832
E1489,16436.716751428572
E149,5428.922971428572
E1490,17594.5
E1491,2976.490685714286
E1492,71442.0
E1493,30573.801971428577
E1494,48712.374157142855
E1495,26665.506108571426
E1496,15400.0
E1497,15597.091302857143
E1498,35183.67197714286
E1499,61803.00000000001
E15,11480.869188571429
E150,68506.37714285715
E1500,13209.060514285715
E1501,48594.82
E1502,47623.850971428576
E1503,9479.0
E1504,15154.0
E1505,112266.0
E1506,49896.0
E1507,49479.43151428571
E1508,7392.0
E1509,30215.721165714283
E151,36253.0
E1510,32679.70297142857
E1511,43447.16242857143
E1512,14893.594285714285
E1513,26899.20482857143
E1514,27412.519057142857
E1515,99940.76342857143
E1516,5040.831
E1517,105434.73923809524
E1518,73006.04783428571
E1519,8169.750657142857
E152,8987.289285714285
E1520,22421.40626285714
E1521,2617.7185485714285
E1522,4679.710171428571
E1523,10181.466382857143
E1524,16536.135314285715
E1525,52431.931679999994
E1527,12049.986485714286
E1528,3979.0495428571426
E1529,17712.374714285714
E153,31242.44465142857
E1530,10225.685742857142
E1531,871397.9693428571
E1532,4800.791428571429
E1533,16236.0
E1534,5488.8784857142855
E1535,18819.078657142858
E1536,27124.47157142857
E1537,4800.791428571429
E1538,51868.503228571426
E1539,4704.7756
E154,10895.5
E1540,4066.7705142857144
E1541,182997.01347619048
E1542,64565.25045714285
E1543,105336.0
E1544,2784.4590285714285
E1545,5424.894314285714
E1546,9937.638257142858
E1547,3072.5065142857143
E1548,11425.8836
E1549,10465.725314285715
E155,32470.50077142857
E1550,7857.560514285715
E1551,27867.114897142856
E1552,39446.5
E1553,18444.300525714287
E1554,44113.82
E1555,29673.550314285712
