indicator,unit,central,low,high,range_pct_of_central
production_tonnes,t,694463.7998,703241.6797999998,891116.7478,27.0532557714465
sales,EUR,162015810.59504002,104495838.52207999,153906676.70186,30.49754094881694
subsidy,EUR,68977158.52548571,48207434.10214858,72059977.74952,34.580351173147235
revenue,EUR,230992969.12052575,152703272.62422857,225966654.45138,31.71671506110848
gross_margin,EUR,88785692.8285519,51801744.52980819,95628374.17835638,49.36226575736571
labor_hours,h,6252739.71127381,3785525.2167499997,6195233.294278408,38.53843577054165
nitrogen,kg N,2065681.7056666669,1315420.933666667,1914715.928666667,29.011971852003548
ghg,"t CO2 (magnitude, see docs/04-vigilance.md)",178071029.99552476,137166566.5756473,172946068.01173228,20.092825563475532
tfi,TFI.ha,68133.19647619048,42224.64647619047,65834.83433333333,34.65298720484011
fte,FTE,3890.9394594112073,,,
labor_cost,EUR,96917465.52474405,,,
net_revenue,EUR,-8131772.696192145,,,
chlordecone_risk_area,ha,691.49,,,
water_need_m3,m3,35629950.0,,,
soil_carbon_balance,t C,-11836.919108310416,,,
