group,label,fine_variants,observed_ha,observed_plots,reproducible_ha,reproducible_plots,irreproducible_ha,reproducible_share_pct
AG,Citrus,1,100.84,112,48.449999999999996,47,52.39000000000001,48.04641015470052
AN,Pineapple,2,132.67000000000002,199,122.41,179,10.26000000000002,92.26652596668424
BA,Export banana,4,1920.8,1947,1920.8,1947,0.0,100.0
BC,Plantain,2,147.20999999999995,239,121.1,186,26.109999999999957,82.26343319068
CS,Sugarcane,28,12812.93,10955,12728.68,10829,84.25,99.3424610920375
IG,Yam and tubers,2,145.42000000000002,337,137.74,322,7.680000000000007,94.71874570210424
JA,Fallow,1,621.4699999999999,731,621.4699999999999,731,0.0,100.0
MA,Market gardening,30,1086.9699999999998,1599,1086.9699999999998,1599,0.0,100.0
ME,Melon,1,189.36,48,189.36,48,0.0,99.99999999999999
PN,Grassland and savannah,2,6109.43,5524,6109.43,5524,0.0,100.0
VE,Orchards excluding citrus,2,310.89,506,143.70999999999998,303,167.18,46.22535301875261
